[10/03/2014 00:13:01] | [INFO] Applying parameters: [C:\Users\COMPUMONSTER\Desktop\SecureFolderBack\, .Test.encrypted]
[10/03/2014 00:13:01] | [INFO] Final Command: attrib +s +h C:\Users\COMPUMONSTER\Desktop\SecureFolderBack\.Test.encrypted
[10/03/2014 00:13:01] | [INFO] Executing command 'attrib +s +h C:\Users\COMPUMONSTER\Desktop\SecureFolderBack\.Test.encrypted'
[10/03/2014 00:13:01] | [INFO] Waiting for result for command 'attrib +s +h C:\Users\COMPUMONSTER\Desktop\SecureFolderBack\.Test.encrypted'
[10/03/2014 00:13:01] | [INFO] Command 'attrib +s +h C:\Users\COMPUMONSTER\Desktop\SecureFolderBack\.Test.encrypted' returned: 
[10/03/2014 00:13:01] | [INFO] Extracting files from ['C:\Users\COMPUMONSTER\Desktop\SecureFolderBack\.Test.encrypted']...
[10/03/2014 00:13:01] | [INFO] Files extracted from ['C:\Users\COMPUMONSTER\Desktop\SecureFolderBack\.Test.encrypted']
[10/03/2014 00:13:01] | [INFO] Saving the current configuration...
[10/03/2014 00:13:01] | [INFO] Current configurations saved
[10/03/2014 00:13:01] | *** LOGGER CLOSED ***
[10/03/2014 00:13:11] | *** LOGGER STARTED ***
[10/03/2014 00:13:11] | [INFO] Configurations loaded
[10/03/2014 00:13:11] | [INFO] Removing folder ['C:\Users\COMPUMONSTER\Desktop\SecureFolderBack\Test']
[10/03/2014 00:13:11] | [INFO] Saving the current configuration...
[10/03/2014 00:13:11] | [INFO] Current configurations saved
[10/03/2014 00:13:11] | *** LOGGER CLOSED ***
[10/03/2014 00:15:23] | *** LOGGER STARTED ***
[10/03/2014 00:15:23] | [INFO] Configurations loaded
[10/03/2014 00:15:23] | [INFO] Removing folder ['C:\Users\COMPUMONSTER\Desktop\SecureFolderBack\Test']
[10/03/2014 00:15:23] | [ERROR] fr.nemolovich.apps.securefolder.file.FileUtils{removeFolder}: The source folder ['C:\Users\COMPUMONSTER\Desktop\SecureFolderBack\Test'] does not exist
[10/03/2014 00:15:23] | [INFO] Saving the current configuration...
[10/03/2014 00:15:23] | [INFO] Current configurations saved
[10/03/2014 00:15:23] | *** LOGGER CLOSED ***
[10/03/2014 00:15:34] | *** LOGGER STARTED ***
[10/03/2014 00:15:34] | [INFO] Configurations loaded
[10/03/2014 00:15:34] | [INFO] Removing folder ['C:\Users\COMPUMONSTER\Desktop\SecureFolderBack\Test']
[10/03/2014 00:15:34] | [ERROR] fr.nemolovich.apps.securefolder.file.FileUtils{removeFolder}: The source folder ['C:\Users\COMPUMONSTER\Desktop\SecureFolderBack\Test'] does not exist
[10/03/2014 00:15:34] | [INFO] Saving the current configuration...
[10/03/2014 00:15:34] | [INFO] Current configurations saved
[10/03/2014 00:15:34] | *** LOGGER CLOSED ***
[10/03/2014 00:15:43] | *** LOGGER STARTED ***
[10/03/2014 00:15:43] | [INFO] Configurations loaded
[10/03/2014 00:15:43] | [INFO] Removing folder ['C:\Users\COMPUMONSTER\Desktop\SecureFolderBack\Test']
[10/03/2014 00:15:43] | [ERROR] fr.nemolovich.apps.securefolder.file.FileUtils{removeFolder}: The source folder ['C:\Users\COMPUMONSTER\Desktop\SecureFolderBack\Test'] does not exist
[10/03/2014 00:15:43] | [INFO] Saving the current configuration...
[10/03/2014 00:15:43] | [INFO] Current configurations saved
[10/03/2014 00:15:43] | *** LOGGER CLOSED ***
[10/03/2014 00:15:54] | *** LOGGER STARTED ***
[10/03/2014 00:15:54] | [INFO] Configurations loaded
[10/03/2014 00:15:54] | [INFO] Configuring password for encrypted zipped file
[10/03/2014 00:15:54] | [INFO] Extracting files from ['C:\Users\COMPUMONSTER\Desktop\SecureFolderBack\Test.sflock']...
[10/03/2014 00:15:54] | [INFO] Files extracted from ['C:\Users\COMPUMONSTER\Desktop\SecureFolderBack\Test.sflock']
[10/03/2014 00:15:54] | [INFO] Operating System is: windows 7
[10/03/2014 00:15:54] | [INFO] Properties file to use: ['C:\Users\COMPUMONSTER\git\SecureFolder\target\classes\batchs\win.properties']
[10/03/2014 00:15:54] | [INFO] Properties file ['C:\Users\COMPUMONSTER\git\SecureFolder\target\classes\batchs\win.properties'] loaded
[10/03/2014 00:15:54] | [INFO] Creating batch file command: hideFile with parameters [C:\Users\COMPUMONSTER\Desktop\SecureFolderBack\, .Test.encrypted]
[10/03/2014 00:15:54] | [INFO] Looking for command key: file.hideFile
[10/03/2014 00:15:54] | [INFO] Command found: attrib +s +h %1%%2%
[10/03/2014 00:15:54] | [INFO] Applying parameters: [C:\Users\COMPUMONSTER\Desktop\SecureFolderBack\, .Test.encrypted]
[10/03/2014 00:15:54] | [INFO] Final Command: attrib +s +h C:\Users\COMPUMONSTER\Desktop\SecureFolderBack\.Test.encrypted
[10/03/2014 00:15:54] | [INFO] Executing command 'attrib +s +h C:\Users\COMPUMONSTER\Desktop\SecureFolderBack\.Test.encrypted'
[10/03/2014 00:15:54] | [INFO] Waiting for result for command 'attrib +s +h C:\Users\COMPUMONSTER\Desktop\SecureFolderBack\.Test.encrypted'
[10/03/2014 00:15:54] | [INFO] Command 'attrib +s +h C:\Users\COMPUMONSTER\Desktop\SecureFolderBack\.Test.encrypted' returned: 
[10/03/2014 00:15:54] | [INFO] Extracting files from ['C:\Users\COMPUMONSTER\Desktop\SecureFolderBack\.Test.encrypted']...
[10/03/2014 00:15:54] | [INFO] Files extracted from ['C:\Users\COMPUMONSTER\Desktop\SecureFolderBack\.Test.encrypted']
[10/03/2014 00:15:54] | [INFO] Saving the current configuration...
[10/03/2014 00:15:54] | [INFO] Current configurations saved
[10/03/2014 00:15:54] | *** LOGGER CLOSED ***
[10/03/2014 00:15:57] | *** LOGGER STARTED ***
[10/03/2014 00:15:57] | [INFO] Configurations loaded
[10/03/2014 00:15:57] | [INFO] Removing folder ['C:\Users\COMPUMONSTER\Desktop\SecureFolderBack\Test']
[10/03/2014 00:15:57] | [INFO] Saving the current configuration...
[10/03/2014 00:15:57] | [INFO] Current configurations saved
[10/03/2014 00:15:57] | *** LOGGER CLOSED ***
[10/03/2014 00:18:07] | *** LOGGER STARTED ***
[10/03/2014 00:18:07] | [INFO] Configurations loaded
[10/03/2014 00:18:07] | [INFO] Configuring password for encrypted zipped file
[10/03/2014 00:18:07] | [INFO] Extracting files from ['C:\Users\COMPUMONSTER\Desktop\SecureFolderBack\Test.sflock']...
[10/03/2014 00:18:08] | [INFO] Files extracted from ['C:\Users\COMPUMONSTER\Desktop\SecureFolderBack\Test.sflock']
[10/03/2014 00:18:08] | [INFO] Operating System is: windows 7
[10/03/2014 00:18:08] | [INFO] Properties file to use: ['C:\Users\COMPUMONSTER\git\SecureFolder\target\classes\batchs\win.properties']
[10/03/2014 00:18:08] | [INFO] Properties file ['C:\Users\COMPUMONSTER\git\SecureFolder\target\classes\batchs\win.properties'] loaded
[10/03/2014 00:18:08] | [INFO] Creating batch file command: hideFile with parameters [C:\Users\COMPUMONSTER\Desktop\SecureFolderBack\, .Test.encrypted]
[10/03/2014 00:18:08] | [INFO] Looking for command key: file.hideFile
[10/03/2014 00:18:08] | [INFO] Command found: attrib +s +h %1%%2%
[10/03/2014 00:18:08] | [INFO] Applying parameters: [C:\Users\COMPUMONSTER\Desktop\SecureFolderBack\, .Test.encrypted]
[10/03/2014 00:18:08] | [INFO] Final Command: attrib +s +h C:\Users\COMPUMONSTER\Desktop\SecureFolderBack\.Test.encrypted
[10/03/2014 00:18:08] | [INFO] Executing command 'attrib +s +h C:\Users\COMPUMONSTER\Desktop\SecureFolderBack\.Test.encrypted'
[10/03/2014 00:18:08] | [INFO] Waiting for result for command 'attrib +s +h C:\Users\COMPUMONSTER\Desktop\SecureFolderBack\.Test.encrypted'
[10/03/2014 00:18:08] | [INFO] Command 'attrib +s +h C:\Users\COMPUMONSTER\Desktop\SecureFolderBack\.Test.encrypted' returned: 
[10/03/2014 00:18:08] | [INFO] Extracting files from ['C:\Users\COMPUMONSTER\Desktop\SecureFolderBack\.Test.encrypted']...
[10/03/2014 00:18:08] | [INFO] Files extracted from ['C:\Users\COMPUMONSTER\Desktop\SecureFolderBack\.Test.encrypted']
[10/03/2014 00:18:08] | [INFO] Saving the current configuration...
[10/03/2014 00:18:08] | [INFO] Current configurations saved
[10/03/2014 00:18:08] | *** LOGGER CLOSED ***
[10/03/2014 00:30:43] | *** LOGGER STARTED ***
[10/03/2014 00:30:43] | [INFO] Configurations loaded
[10/03/2014 00:30:43] | [INFO] Configuring password for encrypted zipped file
[10/03/2014 00:30:43] | [INFO] Extracting files from ['C:\Users\COMPUMONSTER\Desktop\SecureFolderBack\Test.sflock']...
[10/03/2014 00:30:43] | [INFO] Files extracted from ['C:\Users\COMPUMONSTER\Desktop\SecureFolderBack\Test.sflock']
[10/03/2014 00:30:43] | [INFO] Operating System is: windows 7
[10/03/2014 00:30:43] | [INFO] Properties file to use: ['C:\Users\COMPUMONSTER\git\SecureFolder\target\classes\batchs\win.properties']
[10/03/2014 00:30:43] | [INFO] Properties file ['C:\Users\COMPUMONSTER\git\SecureFolder\target\classes\batchs\win.properties'] loaded
[10/03/2014 00:30:43] | [INFO] Creating batch file command: hideFile with parameters [C:\Users\COMPUMONSTER\Desktop\SecureFolderBack\, .Test.encrypted]
[10/03/2014 00:30:43] | [INFO] Looking for command key: file.hideFile
[10/03/2014 00:30:43] | [INFO] Command found: attrib +s +h %1%%2%
[10/03/2014 00:30:43] | [INFO] Applying parameters: [C:\Users\COMPUMONSTER\Desktop\SecureFolderBack\, .Test.encrypted]
[10/03/2014 00:30:43] | [INFO] Final Command: attrib +s +h C:\Users\COMPUMONSTER\Desktop\SecureFolderBack\.Test.encrypted
[10/03/2014 00:30:43] | [INFO] Executing command 'attrib +s +h C:\Users\COMPUMONSTER\Desktop\SecureFolderBack\.Test.encrypted'
[10/03/2014 00:30:43] | [INFO] Waiting for result for command 'attrib +s +h C:\Users\COMPUMONSTER\Desktop\SecureFolderBack\.Test.encrypted'
[10/03/2014 00:30:43] | [INFO] Command 'attrib +s +h C:\Users\COMPUMONSTER\Desktop\SecureFolderBack\.Test.encrypted' returned: 
[10/03/2014 00:30:43] | [INFO] Extracting files from ['C:\Users\COMPUMONSTER\Desktop\SecureFolderBack\.Test.encrypted']...
[10/03/2014 00:30:43] | [INFO] Files extracted from ['C:\Users\COMPUMONSTER\Desktop\SecureFolderBack\.Test.encrypted']
[10/03/2014 00:30:43] | [INFO] Saving the current configuration...
[10/03/2014 00:30:43] | [INFO] Current configurations saved
[10/03/2014 00:30:43] | *** LOGGER CLOSED ***
[10/03/2014 00:31:21] | *** LOGGER STARTED ***
[10/03/2014 00:31:21] | [INFO] Configurations loaded
[10/03/2014 00:31:21] | [INFO] Configuring password for encrypted zipped file
[10/03/2014 00:31:21] | [INFO] Extracting files from ['C:\Users\COMPUMONSTER\Desktop\SecureFolderBack\Test.sflock']...
[10/03/2014 00:31:21] | [INFO] Files extracted from ['C:\Users\COMPUMONSTER\Desktop\SecureFolderBack\Test.sflock']
[10/03/2014 00:31:21] | [INFO] Operating System is: windows 7
[10/03/2014 00:31:21] | [INFO] Properties file to use: ['C:\Users\COMPUMONSTER\git\SecureFolder\target\classes\batchs\win.properties']
[10/03/2014 00:31:21] | [INFO] Properties file ['C:\Users\COMPUMONSTER\git\SecureFolder\target\classes\batchs\win.properties'] loaded
[10/03/2014 00:31:21] | [INFO] Creating batch file command: hideFile with parameters [C:\Users\COMPUMONSTER\Desktop\SecureFolderBack\, .Test.encrypted]
[10/03/2014 00:31:21] | [INFO] Looking for command key: file.hideFile
[10/03/2014 00:31:21] | [INFO] Command found: attrib +s +h %1%%2%
[10/03/2014 00:31:21] | [INFO] Applying parameters: [C:\Users\COMPUMONSTER\Desktop\SecureFolderBack\, .Test.encrypted]
[10/03/2014 00:31:21] | [INFO] Final Command: attrib +s +h C:\Users\COMPUMONSTER\Desktop\SecureFolderBack\.Test.encrypted
[10/03/2014 00:31:21] | [INFO] Executing command 'attrib +s +h C:\Users\COMPUMONSTER\Desktop\SecureFolderBack\.Test.encrypted'
[10/03/2014 00:31:21] | [INFO] Waiting for result for command 'attrib +s +h C:\Users\COMPUMONSTER\Desktop\SecureFolderBack\.Test.encrypted'
[10/03/2014 00:31:21] | [INFO] Command 'attrib +s +h C:\Users\COMPUMONSTER\Desktop\SecureFolderBack\.Test.encrypted' returned: 
[10/03/2014 00:31:21] | [INFO] Extracting files from ['C:\Users\COMPUMONSTER\Desktop\SecureFolderBack\.Test.encrypted']...
[10/03/2014 00:31:21] | [INFO] Files extracted from ['C:\Users\COMPUMONSTER\Desktop\SecureFolderBack\.Test.encrypted']
[10/03/2014 00:31:21] | [INFO] Saving the current configuration...
[10/03/2014 00:31:21] | [INFO] Current configurations saved
[10/03/2014 00:31:21] | *** LOGGER CLOSED ***
[10/03/2014 00:31:37] | *** LOGGER STARTED ***
[10/03/2014 00:31:37] | [INFO] Configurations loaded
[10/03/2014 00:31:37] | [INFO] Configuring password for encrypted zipped file
[10/03/2014 00:31:37] | [INFO] Extracting files from ['C:\Users\COMPUMONSTER\Desktop\SecureFolderBack\Test.sflock']...
[10/03/2014 00:31:37] | [INFO] Files extracted from ['C:\Users\COMPUMONSTER\Desktop\SecureFolderBack\Test.sflock']
[10/03/2014 00:31:37] | [INFO] Operating System is: windows 7
[10/03/2014 00:31:37] | [INFO] Properties file to use: ['C:\Users\COMPUMONSTER\git\SecureFolder\target\classes\batchs\win.properties']
[10/03/2014 00:31:37] | [INFO] Properties file ['C:\Users\COMPUMONSTER\git\SecureFolder\target\classes\batchs\win.properties'] loaded
[10/03/2014 00:31:37] | [INFO] Creating batch file command: hideFile with parameters [C:\Users\COMPUMONSTER\Desktop\SecureFolderBack\, .Test.encrypted]
[10/03/2014 00:31:37] | [INFO] Looking for command key: file.hideFile
